,1_sorry_end,2_ignore_diff,3_begin_correct,4_contact,5_special_time,6_no_home_time,7_2_strangers,8_enjoy_holiday,9_enjoy_travel,10_common_goals,11_harmony,12_freeom_value,13_entertain,14_people_goals,15_dreams,16_love,17_happy,18_marriage,19_roles,20_trust,21_likes,22_care_sick,23_fav_food,24_stresses,25_inner_world,26_anxieties,27_current_stress,28_hopes_wishes,29_know_well,30_friends_social,31_aggro_argue,32_always_never,33_negative_personality,34_offensive_expressions,35_insult,36_humiliate,37_not_calm,38_hate_subjects,39_sudden_discussion,40_idk_what's_going_on,41_calm_breaks,42_argue_then_leave,43_silent_for_calm,44_good_to_leave_home,45_silence_instead_of_discussion,46_silence_for_harm,47_silence_fear_anger,48_i'm_right,49_accusations,50_i'm_not_guilty,51_i'm_not_wrong,52_no_hesitancy_inadequate,53_you're_inadequate,54_incompetence,55_divorce_y_n
455,3,1,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,3,2,2,2,3,1,1,1,3,2,1,2,3,2,3,3,4,3,3,2,2,3,2,2,0
456,2,3,3,2,2,2,2,3,3,3,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,4,4,4,3,3,4,2,3,2,3,4,4,4,3,4,4,1
457,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,1,1,1,1,1,1,0
458,2,2,2,2,2,2,1,2,2,3,3,2,2,2,3,3,2,3,3,2,2,3,2,2,2,2,2,4,2,2,3,4,3,3,2,3,3,3,3,4,2,2,2,2,3,3,1,2,3,2,2,2,3,2,1
459,3,1,3,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,2,2,2,3,2,3,2,2,3,2,3,3,3,4,2,1,3,2,3,3,2,3,3,2,2,2,2,2,0
460,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,3,1,3,4,3,2,1,1,2,1,1,1,0
461,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,0
462,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,3,3,4,2,2,2,4,2,3,3,2,3,2,2,0
463,3,3,2,3,2,1,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,2,3,2,4,4,4,2,3,4,3,2,4,4,3,3,3,3,1
464,4,3,3,4,3,2,2,3,3,4,4,3,4,2,3,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,2,3,3,3,4,3,3,3,2,4,1
465,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,4,2,2,2,4,2,2,3,2,3,2,0
466,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,2,1,3,2,2,2,0
467,2,2,2,3,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,3,3,3,2,1,2,3,2,2,2,1,1,3,2,2,0
468,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0
469,2,2,1,2,3,1,1,2,1,2,2,2,2,1,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,4,4,2,4,4,4,3,4,4,3,2,2,2,0
470,3,3,3,3,3,1,2,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,4,3,3,2,2,2,4,3,3,3,3,3,3,4,4,2,1
471,2,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,3,2,1,2,1,1,3,3,2,0
472,4,3,3,3,3,2,1,2,2,2,2,3,2,3,2,2,3,2,3,2,2,1,1,2,2,2,2,2,2,3,3,2,2,3,3,2,4,3,3,3,3,4,4,3,3,3,3,3,3,3,2,1,1,2,1
473,3,2,3,2,3,2,2,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,2,2,3,2,2,3,3,3,2,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,4,3,3,3,2,3,3,3,1
474,3,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,3,2,1,0
475,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,2,1,1,2,1,2,1,0
476,4,2,2,3,3,1,1,3,2,2,3,3,3,3,2,1,2,2,2,2,2,2,3,2,2,2,1,1,2,3,1,1,1,1,2,2,2,2,2,1,2,2,3,2,4,3,2,2,3,4,3,2,1,2,0
477,3,4,4,4,3,1,2,3,4,4,4,3,2,3,3,4,3,4,3,3,3,3,2,4,3,3,3,4,3,3,2,3,3,4,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4,4,3,4,2,3,1
478,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,2,3,3,2,3,2,1,2,3,3,3,3,2,2,2,1
479,4,4,4,4,4,1,1,3,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,2,4,3,2,3,3,3,4,3,4,3,3,1
480,4,3,3,4,4,1,1,3,4,2,3,1,3,2,3,3,3,2,3,2,3,3,4,2,3,2,3,3,3,2,3,3,3,3,4,4,4,4,4,3,3,4,4,2,3,4,3,4,3,3,3,4,3,2,1
481,2,2,2,3,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,3,1,2,1,2,1,2,1,2,3,2,3,2,2,3,1,2,2,3,3,3,4,4,4,3,3,4,3,4,3,2,0
482,3,2,2,3,3,2,1,1,2,2,2,2,3,2,2,3,3,2,3,2,1,3,2,2,2,2,2,3,2,2,3,4,3,3,3,3,3,2,3,4,2,3,4,3,4,4,4,3,3,3,3,4,3,2,1
483,2,2,2,2,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,3,3,3,3,3,2,3,4,4,3,3,4,3,4,2,2,3,2,3,2,1
484,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,3,3,1,2,2,2,2,3,1,1,0
485,3,3,2,1,3,1,1,3,3,2,3,2,3,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,4,3,2,2,3,2,4,3,4,2,2,3,4,4,2,1
486,2,2,3,2,2,1,1,2,3,2,3,3,3,2,2,2,1,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,4,2,3,2,3,1,2,2,3,4,2,2,3,2,2,1
487,4,4,3,4,4,2,2,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,1
488,3,3,2,3,3,1,1,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,1,2,3,3,2,2,3,3,2,2,3,3,4,2,2,3,3,1,4,3,3,3,4,4,4,2,3,3,2,4,2,4,1
489,3,2,4,2,3,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,4,3,4,2,4,3,4,2,3,2,1,3,2,3,3,4,3,2,2,4,0
490,2,1,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,3,1,3,1,3,3,2,2,2,2,1,2,0
491,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,2,2,2,1,2,2,1,0
492,2,1,1,2,1,1,2,2,1,2,2,3,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,3,2,4,1,2,3,2,3,1,3,2,3,3,3,3,2,1
493,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,1
494,2,2,3,1,3,1,1,2,3,2,3,2,2,1,2,1,2,2,2,2,2,2,3,1,2,1,2,2,2,1,3,2,2,2,2,2,2,1,3,2,2,3,4,2,3,3,2,3,3,2,2,2,2,1,0
495,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,3,2,2,1,1,1,1,1,2,1,2,4,1,4,4,3,3,4,4,4,3,2,1,0
496,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,3,3,2,0
497,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,3,1,2,1,1,2,2,1,2,1,1,2,2,2,3,2,1,3,1,1,1,2,2,3,1,1,2,2,2,2,2,2,0
498,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,3,2,3,1,4,3,1,1,3,3,2,2,1,2,0
499,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,3,2,3,1,1,4,1,3,1,0
500,4,3,4,4,4,2,1,2,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,3,1
501,1,2,2,1,2,1,1,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,3,3,2,3,3,2,2,3,3,3,3,4,2,3,3,4,4,3,3,3,4,4,3,3,4,1
502,3,2,3,1,3,1,2,3,2,2,3,2,3,2,2,1,3,3,3,2,2,1,3,2,3,2,2,1,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1
503,3,1,2,2,2,2,3,2,3,3,3,2,2,3,3,3,2,3,3,2,2,3,2,2,2,2,3,3,2,2,3,3,3,2,1,2,4,3,3,3,2,3,2,3,3,3,2,3,2,2,3,2,3,2,1
504,2,2,1,1,1,1,1,3,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,3,3,2,2,2,2,2,0
505,3,4,3,2,4,1,1,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,3,2,3,4,2,4,4,2,3,3,3,3,4,4,3,1
506,1,2,2,1,1,2,1,1,1,2,1,3,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,3,2,3,2,3,2,2,2,1,2,2,2,0
507,4,3,3,4,3,2,3,4,4,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,1
508,3,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,3,1,1,1,2,1,2,2,1,2,2,2,2,1,3,1,2,1,3,2,3,2,3,3,3,2,3,3,2,2,2,2,0
509,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,4,1,4,2,3,1,2,2,1,3,2,1,0
510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,0
511,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,3,1,2,1,2,1,1,1,1,1,1,0
512,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,3,2,1,1,2,2,2,3,3,3,3,2,4,4,2,3,2,2,3,4,4,3,0
513,4,4,4,3,4,1,1,4,4,3,4,3,4,3,3,2,4,3,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,1
514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,3,1,1,1,2,1,1,0
515,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,3,3,3,3,3,2,2,2,2,1,2,2,0
516,3,3,3,3,2,1,1,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,4,2,3,3,4,2,3,4,4,4,2,2,3,2,3,2,1
517,2,1,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,3,2,1,2,1,2,0
518,2,3,2,2,3,2,1,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,4,3,4,4,2,4,3,4,4,4,3,3,2,1
519,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0
520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,0
521,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,3,1,2,3,1,2,2,3,2,3,3,2,0
522,3,2,3,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,1,3,2,2,2,3,2,3,3,4,2,3,3,3,2,4,2,3,2,2,2,4,2,2,1
523,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,2,2,3,2,2,3,1,1,2,1,1,1,0
524,2,2,1,3,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,3,1,1,2,1,2,3,2,0
525,2,4,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,3,1,2,1,2,2,2,1,1,1,1,1,1,2,3,1,3,2,2,1,2,1,3,2,4,3,2,3,2,3,4,3,2,3,2,2,1,0
526,3,3,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,0
527,2,3,3,3,3,1,1,2,3,2,3,3,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,3,3,2,3,4,3,3,3,2,3,2,3,4,3,3,4,3,4,1,3,2,2,3,2,3,3,4,1
528,2,3,2,2,3,3,2,1,3,2,2,1,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,3,2,2,3,2,3,4,2,4,3,2,3,1,2,3,1,1,2,1
529,4,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1
530,2,3,2,1,3,1,2,2,2,2,2,3,3,2,2,3,3,3,3,2,1,1,3,2,2,2,2,2,2,1,4,2,2,2,2,2,3,2,2,3,2,3,3,3,4,2,2,3,3,3,2,2,2,4,1
531,3,2,2,3,2,1,1,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,3,3,2,3,2,2,3,3,3,3,2,2,4,3,3,3,3,2,3,3,2,3,3,2,0
532,4,4,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,1
533,2,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,0
534,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,3,2,2,2,2,2,4,1,1,3,2,2,0
535,2,3,3,3,3,3,2,3,2,2,2,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,3,3,4,4,4,3,2,1
536,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,1,2,2,3,1,1,2,2,3,1,0
537,4,2,3,3,4,1,1,3,4,3,4,3,4,3,4,2,4,3,4,3,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,2,4,3,4,4,4,4,4,4,4,3,4,4,3,4,1
538,3,2,2,1,3,2,1,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,3,4,2,3,3,3,4,3,3,2,3,2,4,3,1
539,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0
540,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,3,2,2,2,1,1,2,2,2,2,0
541,3,1,1,2,2,2,3,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,2,2,0
542,3,2,3,4,2,2,3,2,3,4,2,3,3,3,3,4,2,3,3,3,2,3,2,2,2,3,3,3,1,2,3,2,2,2,2,2,4,2,3,3,3,3,3,2,3,2,2,1,3,3,2,3,2,2,1
543,2,3,2,1,2,2,2,3,3,2,2,2,1,2,2,2,2,3,2,3,2,1,2,3,2,3,2,1,1,2,3,2,2,3,2,3,2,4,1,3,1,3,2,2,3,3,2,3,2,3,4,2,2,3,0
544,4,3,4,4,3,1,1,3,2,4,3,3,4,3,3,3,4,2,4,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
545,3,3,2,2,3,3,2,3,3,1,3,2,3,3,3,2,3,2,2,3,3,1,2,2,3,3,2,1,3,3,2,1,2,1,3,2,2,3,2,2,2,2,2,2,1,1,2,1,2,3,2,3,2,3,1
546,4,3,4,3,4,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1
547,3,3,3,2,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,4,1,3,2,2,2,3,1,1,1,2,3,3,3,3,2,2,3,2,2,2,3,3,2,0
548,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,3,2,2,2,2,3,2,1,0
549,1,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,3,2,2,3,2,2,3,3,3,2,1,2,4,3,2,0
550,4,3,3,3,3,1,2,3,3,3,4,4,4,3,3,2,4,4,4,3,2,2,4,4,4,3,3,2,4,3,2,2,3,2,3,2,3,3,4,3,4,3,4,4,4,3,4,4,3,3,3,4,3,4,1
551,4,3,3,3,3,3,1,2,3,2,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,2,3,2,4,4,3,4,4,3,4,3,3,4,2,3,3,3,3,2,2,3,3,3,4,3,3,3,1
552,3,4,4,3,4,2,2,4,4,3,4,4,4,4,4,3,4,4,4,4,3,2,3,3,3,3,3,3,3,3,4,4,3,4,2,4,3,4,4,4,3,4,4,4,3,2,3,4,4,3,4,4,4,3,1
553,4,3,3,4,4,1,2,3,3,4,4,4,3,3,3,3,4,3,4,3,2,2,3,2,3,2,2,3,3,3,2,4,3,4,3,3,3,4,3,3,3,3,3,4,4,2,4,4,3,3,4,3,4,2,1
554,4,3,4,4,3,1,1,3,3,4,4,4,3,3,3,4,3,4,4,4,2,3,4,3,3,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,4,4,3,4,3,4,1
555,1,1,1,1,2,1,1,2,1,2,3,2,3,2,2,2,3,2,3,1,2,2,3,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,3,3,3,3,3,4,1
556,3,3,2,3,3,2,1,3,3,3,4,3,3,2,3,2,3,2,4,3,3,2,3,2,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,3,3,4,4,4,2,3,4,1
557,3,2,2,2,3,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,3,3,4,3,4,3,4,3,3,2,0
558,3,3,3,3,4,1,1,3,3,3,3,3,4,3,4,2,3,3,3,3,2,1,2,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,4,2,3,2,4,3,4,4,3,2,3,4,3,4,2,2,1
559,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,1,3,2,3,2,2,2,2,2,3,3,2,3,2,2,2,3,2,3,3,4,2,3,4,3,4,3,3,3,3,3,2,0
560,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4,3,1,0
561,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,4,3,3,2,2,2,4,4,2,0
562,3,3,4,4,2,1,2,3,2,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,4,3,3,4,4,4,2,3,3,4,4,2,3,2,2,1
563,1,3,1,1,2,2,1,2,2,2,1,2,1,3,2,2,2,2,1,3,2,2,1,3,2,3,2,2,2,3,2,1,3,2,3,2,2,3,3,2,4,3,1,2,2,3,3,3,3,3,2,2,2,2,0
564,3,1,2,2,2,2,3,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,3,3,2,2,3,2,2,2,2,2,3,1,1,2,2,2,1
565,1,1,2,1,1,1,1,2,2,1,1,3,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,2,1,0
566,4,4,4,4,4,1,1,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1
567,1,2,2,3,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,3,1,2,1,1,1,3,2,1,0
568,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0
569,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,3,1,2,1,1,2,1,1,1,1,1,1,0
570,4,3,3,4,4,1,2,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,2,2,1
571,2,1,3,2,2,1,2,2,2,1,3,2,1,1,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,4,3,2,2,1,2,3,2,2,4,2,1,3,2,2,3,2,3,3,2,3,2,3,2,0
572,2,2,1,2,2,2,1,1,1,2,1,3,2,2,1,1,2,2,2,3,2,1,2,2,2,2,2,1,1,2,2,2,2,2,3,3,1,3,2,2,2,4,3,3,4,2,4,2,3,3,2,2,2,2,0
573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,0
574,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,3,1,1,0
575,4,3,3,4,4,1,1,3,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,3,2,3,4,3,4,2,1
